player,elo_Hard,elo_Clay,elo_Grass
v. golubic,1533.5465558363892,1480.7415440804873,1454.0329490287868
k. nishikori,1533.4854099386864,1484.019044155041,1478.1551444827264
l. musetti,1532.9962860715448,1607.3326049705074,1636.026542469189
f. marozsan,1531.5688828799523,1468.731412084374,1451.2837826461976
e. ruusuvuori,1530.6885397078051,1445.6156761972309,1518.9483394225128
b. bicknell,1530.0,1500.0,1500.0
f. rifqi,1530.0,1500.0,1500.0
n. ly,1530.0,1500.0,1500.0
c. cretu,1529.4723186004162,1500.0,1500.0
d. king,1529.3528000084657,1500.0,1500.0
a. knaff,1529.262294419672,1500.7002458626775,1500.0
a. bakshi,1529.0982741756136,1500.0,1500.0
n. kjaer,1528.9607580892368,1500.0,1500.0
r. berankis,1528.733492078626,1500.0,1500.0
t. setodji,1528.7080052393335,1500.0,1500.0
a. sevastova,1527.850854366901,1500.0,1500.0
x. wang,1527.3301171432047,1516.8898415346462,1525.301975807511
m. sawangkaew,1526.8270491470785,1500.0,1500.0
b. krejcikova,1526.5359857243027,1488.431539125271,1637.340252785634
k. pliskova,1525.5554425602684,1468.149641927038,1509.0673978768448
s. cirstea,1525.518875303006,1479.0469721259892,1453.6115729580094
m. damm,1525.368023771081,1500.0,1500.0
a. kachmazov,1525.2889701837455,1500.0,1500.0
e. lys,1524.7968849959148,1509.06010275947,1477.7747251862625
g. diallo,1524.2635367245066,1479.021349110617,1483.9739842717183
a. cazaux,1524.1598722126955,1468.972199332924,1483.147182072623
y. wang,1522.7840989175818,1483.4259703728055,1487.3060348172355
j. ostapenko,1522.4549749099613,1530.210143925914,1555.2394151520537
b. zhukayev,1522.0570762650104,1500.0,1500.0
b. bonzi,1521.1857853329125,1483.017352982475,1500.0
y. uchiyama,1520.5324507582864,1500.0,1500.0
e. shibahara,1520.287628728749,1499.495142118029,1485.6471999915343
a. li,1520.2269462198224,1518.5841246209725,1500.0
c. garcia,1519.7091247833257,1509.7534435673028,1497.3980623545865
e. mertens,1519.6323012608352,1521.617122175418,1490.2906950338308
l. bronzetti,1519.5420793282033,1465.915896320631,1473.6962095326055
j. shang,1519.4150624145695,1467.0001552199035,1517.1193421515118
f. comesana,1517.6201693388634,1434.3102715122432,1524.3647397886523
c. oconnell,1517.586720897673,1438.0907237919473,1486.0463336568112
t. wu,1517.5056008828442,1500.0,1500.0
e. moller,1516.9855413689656,1514.3528000084657,1500.0
a. zakharova,1516.9630683357705,1500.0,1500.0
r. hijikata,1516.8741198759412,1438.1298187516156,1462.813102145628
m. bouzkova,1516.3767518871696,1566.54065512356,1490.876528456586
k. siniakova,1516.2893538088283,1472.3037741206213,1525.136483500806
k. sultanov,1516.244113481404,1500.0,1500.0
o. dodin,1515.4655754513522,1483.0830249231185,1480.037255783225
y. oliel,1515.1270937794784,1500.0,1500.0
z. piros,1515.0,1530.6192581541156,1500.0
g. escobar,1515.0,1500.0,1500.0
a. khan,1515.0,1500.0,1485.0
n. fatic,1515.0,1500.0,1500.0
